Source	D	R0 in	Rc in	R90 in	Rm90 in	R0 out	Rc out	R90	dR90
073-227	147.26	0.65	6.47	nan	3.12	1.09	3.2	5.22	0.0
109-246	89.67	1.34	27.23	1.83	nan	2.11	6.22	2.65	0.0
000-400	254.03	0.31	3.37	2.46	2.34	0.58	2.21	2.42	0.16999999999999993
005-514	262.64	0.44	2.76	nan	nan	0.61	1.71	1.5	0.0
012-407	231.47	nan	nan	nan	nan	0.99	1.86	1.92	0.0
030-524	234.09	0.16	1.99	2.33	2.91	0.27	3.84	2.635	0.4650000000000001
042-628	259.6	0.69	2.77	1.67	nan	1.19	1.87	1.95	0.3699999999999999
LL1	198.63	0.96	2.61	3.05	2.05	1.54	2.46	2.21	0.06999999999999984
069-601	212.2	0.21	2.9	2.42	3.39	0.42	2.05	2.11	0.020000000000000018
4285-458	721.18	nan	nan	nan	nan	0.27	2.56	2.06	0.38
LL3	566.33	0.26	2.35	nan	nan	0.55	1.94	1.975	0.43500000000000005
LL4	593.14	0.24	5.81	4.67	3.35	0.43	2.35	2.81	0.1200000000000001
4468-605	471.31	0.28	2.47	1.35	1.52	0.53	1.8	2.08	0.5
116-3101	463.92	0.22	1.41	1.72	1.74	0.31	1.42	1.6800000000000002	0.16000000000000003
266-558	218.16	0.51	1.79	nan	1.25	0.94	1.92	2.46	0.48
308-3036	484.14	0.29	1.35	nan	1.05	0.52	1.5	1.7850000000000001	0.29500000000000004
LL5	369.55	0.4	2.63	1.59	2.69	0.78	3.03	3.3100000000000005	1.09
LL6	485.83	0.33	6.01	3.77	4.31	0.77	5.57	2.75	0.0
