source	Pi	Lambda	dLambda	h	R_0	D	1000 R_0/D	h/R_0	Group	Clump
w073-227	2.85	2.375	-0.485	0.7	1.269	147	8.6	0.55	nw	B
109-246	7.8525	3.605	5e-3	0.6	1.5945	90	17.7	0.38	nw	C
w000-400	3.87	2.7525	-0.605	0.5	1.056	254	4.2	0.47	sw	B
w005-514	1.46	1.69	0.325	0.42	1.4385	262	5.5	0.29	sw	A
w012-407	2.48	2.5975	-0.1575	1.23	1.4125	231	6.1	0.87	sw	B
w030-524	4.67	2.17	-0.235	0.32	0.523	234	2.2	0.61	sw	B
042-628	2.2375	2.0425	-0.23	1.34	2.4725	260	9.5	0.54	sw	B
LL1	2.53	2.3375	0.095	1.13	2.1805	199	11.0	0.52	sw	B
w069-601	2.6375	2.1825	-0.0525	0.42	0.689	212	3.3	0.61	sw	B
4285-458	2.8575	2.13	-0.22	1.0	1.48	721	2.1	0.68	w	B
LL3	3.345	2.9775	-1.0925	0.8	1.684	566	3.0	0.48	w	B
LL4	2.85	3.3275	-0.5425	0.99	2.009	593	3.4	0.49	w	B
4468-605	1.33	1.78	0.3325	1.2	2.069	471	4.4	0.58	w	A
116-3101	1.41	1.6175	-0.015	0.44	1.238	464	2.7	0.36	s	A
w266-558	1.845	2.58	0.4175	0.35	1.117	218	5.1	0.31	s	B
308-3036	1.3175	1.59	0.3425	1.12	1.7485	484	3.6	0.64	s	A
LL5	5.2275	3.465	0.245	0.6	1.7745	370	4.8	0.34	s	C
LL6	5.2225	4.375	0.615	1.4	2.3325	486	4.8	0.6	s	C
