#    ID     d           r14         VicR14
163-323     2.14        2.2         19.4
161-324     6.05        3.5         25.8
168-328     6.64        2.8         21.0
163-317     6.91        5.0         27.1
166-316     7.01        2.5         14.8
161-328     7.74        9.1         20.0
167-317     7.83        7.9         35.8
158-323     9.42        6.3         30.6
158-326     9.60        11.3        31.6
161-314     10.24       5.3         17.1
158-327     10.60       16.6        35.5
157-323     10.97       2.5         18.4
171-334     14.29       4.7         22.9
170-337     16.20       12.2        36.8
176-325     16.38       6.9         23.5
169-338     16.47       2.8         16.1
154-324     16.63       3.2	    10.3
153-321     16.97       1.2         8.4
159-338     17.20       5.0         13.5
171-340     19.11       23.3        23.2
152-319     19.16       18.2        14.8
155-338     20.48       17.0        29.7
173-341     22.48       4.1         18.1
180-331     25.12       12.2        29.3
177-341     25.84       20.4        51.6
159-350     28.35       20.1        44.5
182-413	    56.7	36.9	    48.7
244-440	    142.3	104	    180.6
