Name	RAJ2000	DEJ2000	[OW94]	Type	Note
	"h:m:s"	"d:m:s"			
4364-146	05 34 36.44	-05 21 45.95		j	J
4466-324	05 34 46.59	-05 23 24.19		j	J,B
4468-605	05 34 46.76	-05 26 04.79		i	J
4538-311	05 34 53.79	-05 23 10.73		rn	
4596-400	05 34 59.56	-05 24 00.19	4596-400	i	
4582-635	05 34 58.16	-05 26 35.13		i	
005-514	05 35 00.47	-05 25 14.34	005-514	i	
006-439	05 35 00.58	-05 24 38.79		j	J
016-149	05 35 01.60	-05 21 49.35		rn	
038-627	05 35 04.19	-05 26 27.89	038-627	i	
044-527	05 35 04.42	-05 25 27.40	044-527	i	
046-3838	05 35 04.61	-05 38 38.00		rn	
046-245	05 35 04.63	-05 22 44.85		i	
049-143	05 35 04.94	-05 21 42.99		i	
051-3541	05 35 05.05	-05 35 40.84		rn	EO
053-717	05 35 05.40	-05 27 16.99		d	
057-419	05 35 05.73	-05 24 18.55	057-419	i	
061-401	05 35 06.09	-05 24 00.60	061-401	i	
064-3335	05 35 06.44	-05 33 35.25		i	
066-3251	05 35 06.57	-05 32 51.49		i	
066-652	05 35 06.59	-05 26 51.99	066-652	i	B
069-601	05 35 06.91	-05 26 00.60	069-601	i	
072-135	05 35 07.21	-05 21 34.43	072-135	i	EO
073-227	05 35 07.27	-05 22 26.56	073-227	i	
078-3658	05 35 07.84	-05 36 58.15		j	J,B
090-326	05 35 09.02	-05 23 26.20		d	
093-822	05 35 09.59	-05 28 22.92	093-822	i	
099-339	05 35 09.89	-05 23 38.50		i	J
102-233	05 35 10.13	-05 22 32.74	102-233	i	
102-021	05 35 10.19	-05 20 20.99	102-021	i	
102-322	05 35 10.20	-05 23 21.56	102-322	i	
106-417	05 35 10.54	-05 24 16.70	106-417	i	
106-156	05 35 10.58	-05 21 56.24	106-156	i	
109-246	05 35 10.90	-05 22 46.36	109-246	i	
109-327	05 35 10.95	-05 23 26.45	109-327	i	J
110-3035	05 35 10.98	-05 30 35.23		rn	J
114-426	05 35 11.30	-05 24 26.50	114-426	d	EO,RN
117-421	05 35 11.65	-05 24 21.50	117-421	i	
117-352	05 35 11.73	-05 23 51.70		i	
119-340	05 35 11.90	-05 23 39.70	119-340	i	
121-1925	05 35 12.09	-05 19 24.80	121-1925	d	
121-434	05 35 12.12	-05 24 33.80	121-434	i	
124-132	05 35 12.38	-05 21 31.39	124-132	i	J,EO,B
131-046	05 35 13.05	-05 20 45.79	131-046	i	
131-247	05 35 13.11	-05 22 47.11	131-247	i	J
132-1832	05 35 13.24	-05 18 32.95		d	EO
132-042	05 35 13.24	-05 20 41.94	132-042	i	J,EO
133-353	05 35 13.30	-05 23 53.05	133-353	i	B
135-220	05 35 13.51	-05 22 19.49	135-220	i	
138-207	05 35 13.78	-05 22 07.39	138-207	i	
139-320	05 35 13.92	-05 23 20.16		i	
141-520	05 35 14.05	-05 25 20.50	141-520	i	FO
140-1952	05 35 14.05	-05 19 51.90	140-1952	d	FO
142-301	05 35 14.15	-05 23 00.91	142-301	i	
143-425	05 35 14.27	-05 24 24.55	143-425	i	
144-522	05 35 14.34	-05 25 22.30	144-522	i	
146-201	05 35 14.61	-05 22 00.94		i	
147-323	05 35 14.72	-05 23 23.01		i	
148-305	05 35 14.80	-05 23 04.76	148-305	i	B
149-329	05 35 14.92	-05 23 29.05	149-329	i	
150-147	05 35 15.00	-05 21 47.34		i	
150-231	05 35 15.02	-05 22 31.11	150-231	i	B
152-319	05 35 15.20	-05 23 18.81	152-319	i	
152-738	05 35 15.21	-05 27 37.85	152-738	i	
154-324	05 35 15.35	-05 23 24.11	154-324	i	B
154-225	05 35 15.37	-05 22 25.35	154-225	i	B
154-240	05 35 15.38	-05 22 39.85		i	
155-338	05 35 15.51	-05 23 37.45	155-338	i	
157-323	05 35 15.72	-05 23 22.59	157-323	i	B
158-323	05 35 15.83	-05 23 22.59	158-323	i	B
158-327	05 35 15.79	-05 23 26.51	158-327	i	B
158-326	05 35 15.81	-05 23 25.51	158-326	i	B
159-338	05 35 15.90	-05 23 38.00	159-338	i	B
159-418	05 35 15.90	-05 24 17.85	159-418	i	
159-221	05 35 15.93	-05 22 21.05	159-221	d	
159-350	05 35 15.96	-05 23 50.30	159-350	i	B
160-353	05 35 16.01	-05 23 53.00	160-353	i	J
161-324	05 35 16.05	-05 23 24.35	161-324	i	
161-328	05 35 16.07	-05 23 27.81	161-328	i	
161-314	05 35 16.10	-05 23 14.05	161-314	i	
162-133	05 35 16.19	-05 21 32.39	162-133	i	
163-026	05 35 16.31	-05 20 25.24		d	B
163-210	05 35 16.27	-05 22 10.45	163-210	i	B
163-317	05 35 16.27	-05 23 16.51	163-317	i	
163-222	05 35 16.30	-05 22 21.50	163-222	i	B,FO
163-249	05 35 16.33	-05 22 49.01	163-249	i	B
164-511	05 35 16.35	-05 25 09.60	164-511	i	
165-235	05 35 16.48	-05 22 35.16	165-235	i	
165-254	05 35 16.54	-05 22 53.70		d	RN
166-316	05 35 16.61	-05 23 16.19	166-315	i	
166-519	05 35 16.57	-05 25 17.74	166-519	d	
166-406	05 35 16.57	-05 24 06.00	166-406	i	
166-250	05 35 16.59	-05 22 50.36	166-250	i	
167-231	05 35 16.73	-05 22 31.30	167-231	d	FO
167-317	05 35 16.74	-05 23 16.51	167-317	i	
168-235	05 35 16.81	-05 22 34.71	168-235	i	
168-328	05 35 16.77	-05 23 28.06	168-328	i	B
168-326	05 35 16.83	-05 23 25.91	168-326	i	B
169-338	05 35 16.88	-05 23 38.10	169-338	i	B
170-301	05 35 16.95	-05 23 00.91	170-301	i	
170-249	05 35 16.96	-05 22 48.51	170-249	i	B
170-337	05 35 16.97	-05 23 37.15	170-337	i	B
171-340	05 35 17.04	-05 23 39.75	171-340	i	B
171-434	05 35 17.11	-05 24 34.40	171-434	i	B
172-028	05 35 17.22	-05 20 27.84	172-028	d	
173-341	05 35 17.32	-05 23 41.40	173-341	i	B
173-236	05 35 17.34	-05 22 35.81	173-236	i	
174-305	05 35 17.37	-05 23 04.86	174-305	i	
174-414	05 35 17.38	-05 24 13.90	174-414	i	
175-251	05 35 17.47	-05 22 51.26	175-251	i	B
175-355	05 35 17.54	-05 23 55.05	175-355	i	
175-543	05 35 17.54	-05 25 42.89	175-543	i	J,EO,B
176-325	05 35 17.55	-05 23 24.96	176-325	i	
176-252	05 35 17.64	-05 22 51.66	176-252	i	
177-341W	05 35 17.66	-05 23 41.00	177-341	i	B
177-454	05 35 17.69	-05 24 54.10	177-454	i	
177-541	05 35 17.71	-05 25 40.76		i	EO,B
177-444	05 35 17.73	-05 24 43.75	177-444	i	
177-341E	05 35 17.73	-05 23 41.10	177-341	i	B
178-441	05 35 17.81	-05 24 41.05		i	
178-258	05 35 17.84	-05 22 58.15		i	
179-056	05 35 17.92	-05 20 55.44	179-056	i	B
179-354	05 35 17.96	-05 23 53.50	179-354	i	
180-331	05 35 18.03	-05 23 30.80	180-331	i	B
