31 Tau       03 52 00.23 +06 32 05.7  24263  5.8 B5V               4.19  0.93   9.25  1.32  -3.59  1.25  15.7  1.8
eps Per      03 57 51.23 +40 00 36.8  24760  2.9 B1.5III           5.11  0.23  14.06  0.26 -23.78  0.17  -0.5  1.1
ksi Per      03 58 57.90 +35 47 27.7  24912  4.1 O7.5III(n)((f))   2.62  0.51   3.62  0.61   1.74  0.50  65.4  0.8
lam Tau      04 00 40.82 +12 29 25.2  25204  3.4 B4IV              6.74  0.17  -8.02  0.24 -14.42  0.16  13.4  4.0
35 Eri       04 01 32.05 -01 32 58.8  25340  5.3 B5III/IV          7.88  0.27  27.74  0.36 -14.69  0.34  15.7  0.8
40 Tau       04 03 44.61 +05 26 08.2  25558  5.3 B5V               5.09  0.32   2.18  0.48  -5.56  0.41  13.0  0.8
lam Per      04 06 35.04 +50 21 04.6  25642  4.3 A0IVn             7.73  0.22 -12.75  0.19 -35.60  0.16   6.1  2.7
41 Tau       04 06 36.41 +27 35 59.6  25823  5.2 Ap                7.76  0.36  21.88  0.39 -52.34  0.33   2.3  4.2
HR 1307      04 13 34.57 +10 12 44.8  26676  6.2 B8V               7.56  0.81  21.49  1.42 -25.44  1.05   7.6  0.8
mu. Tau      04 15 32.06 +08 53 32.5  26912  4.3 B3IV              7.16  0.34  19.46  0.34 -22.11  0.29  16.3  0.6
HD 27192     04 20 11.51 +50 55 15.4  27192  5.5 B1.5IV            3.01  0.38   1.19  0.39  -7.52  0.33 -17.8  2.7
d Per        04 21 33.17 +46 29 56.0  27396  4.8 B4IV              6.43  0.28  20.06  0.29 -35.45  0.23   7.3  0.9
72 Tau       04 27 17.45 +22 59 46.8  28149  5.5 B7V               8.63  0.34  -0.71  0.37 -14.46  0.35   7.3  2.6
HR 1415      04 28 32.12 +01 22 51.0  28375  5.5 B5III/IV          8.52  0.35  17.81  0.42 -21.50  0.47  18.0  4.3
del Cae      04 30 50.10 -44 57 13.5  28873  5.1 B2IV/V            4.63  0.19   1.64  0.21  -3.09  0.23  14.2  0.8
alf Cam      04 54 03.01 +66 20 33.6  30614  4.3 O9Ia              0.52  0.19  -0.13  0.14   6.89  0.15  13.0 10.0
HR 1640      05 03 52.12 -14 22 12.8  32612  6.4 B2IV              1.76  0.41   1.65  0.34   3.02  0.32  16.0  4.3
11 Cam       05 06 08.45 +58 58 20.5  32343  5.1 B3Ve              4.76  0.31  -7.31  0.26  -7.85  0.22 -11.0  0.8
105 Tau      05 07 55.44 +21 42 17.4  32991  5.9 B2Ve              3.02  0.44   2.56  0.51  -5.08  0.29  16.4  1.0
lam Eri      05 09 08.78 -08 45 14.7  33328  4.3 B2IVne            4.02  0.18   0.25  0.16  -1.97  0.11   2.0  4.2
HD 34078     05 16 18.15 +34 18 44.3  34078  6.0 O9.5V             1.74  0.72  -3.58  0.72  43.73  0.39  56.7  0.6
tau Ori      05 17 36.39 -06 50 39.9  34503  3.6 B5III             6.60  0.15 -17.61  0.16  -9.24  0.11  20.1  2.7
15 Cam       05 19 27.86 +58 07 02.5  34233  6.1 B5V               4.15  0.54   6.78  0.49 -17.02  0.40   6.7  3.7
HR 1763      05 21 43.56 +08 25 42.8  34989  5.8 B1V               2.29  0.36  -1.46  0.44  -2.37  0.32  25.3  3.5
115 Tau      05 27 10.09 +17 57 44.0  35671  5.4 B5V               5.94  0.34   7.70  0.40 -20.54  0.21  14.9  0.9
o Tau        05 27 38.08 +21 56 13.1  35708  4.9 B2.5V             5.22  0.21   0.05  0.24  -7.06  0.12  16.5  0.1
ups Ori      05 31 55.86 -07 18 05.5  36512  4.6 O9.7V             1.14  0.25  -0.10  0.18  -4.87  0.14  17.1  2.5
HR 1847      05 32 14.14 +17 03 29.2  36408  6.1 B7III             1.09  2.04  -4.01  2.63 -11.79  1.34  15.0  4.3
HR 1861      05 32 41.35 -01 35 30.6  36591  5.3 B2II/III          2.09  0.80  -1.95  0.67   0.80  0.40  34.3  0.7
VV Ori       05 33 31.45 -01 09 21.9  36695  5.3 B9IV/V            2.22  0.35  -0.82  0.33  -1.07  0.18   3.3 10.0
120 Tau      05 33 31.63 +18 32 24.8  36576  5.7 B2IV-Ve           2.10  0.32   2.78  0.41  -0.05  0.14  41.0  4.0
phi01 Ori    05 34 49.24 +09 29 22.5  36822  4.4 B0III             3.00  0.25   0.27  0.29  -2.26  0.12  33.2 10.0
c Ori        05 35 23.16 -04 50 18.1  37018  4.6 B1V               3.69  1.20   4.52  1.08  -7.11  0.66  28.4  3.4
121 Tau      05 35 27.13 +24 02 22.5  36819  5.4 B2.5IV            5.90  0.22  15.52  0.31 -19.67  0.12  16.8  0.9
sig Ori      05 38 44.78 -02 36 00.1  37468  3.8 O9.5V             3.04  8.92  22.63 10.83  13.45  5.09  29.9  1.6
ome Ori      05 39 11.14 +04 07 17.3  37490  4.6 B3Ve              2.36  0.29   0.84  0.28   0.00  0.16  20.5  0.9
125 Tau      05 39 44.20 +25 53 49.5  37438  5.2 B3IV              7.63  0.33  11.04  0.36 -23.59  0.20  16.5  1.9
133 Tau      05 47 42.91 +13 53 58.6  38622  5.3 B2IV-V            5.15  0.36   4.97  0.36 -12.95  0.25  26.2  0.7
HR 2058      05 54 34.70 -04 03 53.0  39777  6.5 B2III/IV          2.60  0.49   2.75  0.54  -1.15  0.41  25.9  2.7
139 Tau      05 57 59.66 +25 57 14.1  40111  4.8 B0/1II/III        2.10  0.19  -2.06  0.26  -1.95  0.11   8.0  4.2
HD 41335     06 04 13.50 -06 42 32.2  41335  5.2 B3/5Vnne          2.48  0.75  -3.70  0.74   4.98  0.71  24.1  7.4
nu Ori       06 07 34.33 +14 46 06.5  41753  4.4 B3V               6.32  0.33   6.78  0.34 -20.23  0.21  24.1  2.7
del Pic      06 10 17.91 -54 58 07.1  42933  4.8 B1/2(III)n        2.51  0.15  -4.90  0.14   7.41  0.17  30.6  2.8
HD 43955     06 18 13.73 -19 58 01.1  43955  5.5 B2/3V             4.10  0.28  -5.74  0.22   7.06  0.22  17.9  2.3
HR 2276      06 20 52.12 +11 45 22.4  44173  6.6 B5III             1.10  0.53  -4.17  0.55  -4.13  0.40  18.8  3.0
bet CMa      06 22 41.99 -17 57 21.3  44743  2.0 B1II-III          6.62  0.22  -3.23  0.19  -0.78  0.20  33.7  0.5
10 Mon       06 27 57.57 -04 45 43.8  45546  5.0 B2V               3.00  0.24  -5.78  0.21  -2.86  0.19  25.3  0.8
HD 47432     06 38 38.19 +01 36 48.7  47432  6.3 O9.7Ib            1.50  0.54  -0.34  0.62  -0.83  0.42  60.1  1.5
psi03 Aur    06 38 49.18 +39 54 09.2  47100  5.3 B8III             2.38  0.39  -8.68  0.46 -11.61  0.29   9.0  4.2
HD 48099     06 41 59.23 +06 20 43.5  48099  6.4 O5V((f))z+O9:     1.17  0.41   0.84  0.41   2.55  0.31  28.6  2.8
HD 49662     06 48 57.74 -15 08 41.0  49662  5.4 B7IV              6.17  0.75  -2.72  0.77  -4.66  0.78  23.0  7.4
iot CMa      06 56 08.22 -17 03 15.3  51309  4.4 B3Ib/II           1.30  0.20  -3.56  0.17   2.42  0.20  41.2  1.6
gam CMa      07 03 45.49 -15 37 59.8  53244  4.1 B8II              7.38  0.21  -0.14  0.19 -11.36  0.21  32.0  7.4
V* FN CMa    07 06 40.77 -11 17 38.4  53974  5.4 B0IIIn            1.07  0.61  -3.14  0.72   3.32  0.55  31.0  4.2
A Pup        07 08 51.07 -39 39 20.4  54893  4.8 B3IV/V            4.48  0.14 -10.69  0.12   7.71  0.17  19.5  2.8
HD 54662     07 09 20.25 -10 20 47.6  54662  6.2 O7Vzvar?          1.58  0.45  -1.96  0.52   4.40  0.37  57.9  2.5
26 CMa       07 12 12.21 -25 56 33.3  55522  5.9 B2IV/V            3.89  0.41  -5.55  0.21   7.86  0.34  21.6  2.9
HD 55857     07 13 36.45 -27 21 22.9  55857  6.1 B2II              0.96  0.42  -3.87  0.29   6.43  0.35  33.0  2.3
HR 2769      07 16 31.85 -38 19 08.1  56733  5.8 B4V               5.34  0.27  -7.78  0.19   4.89  0.28  32.0  7.2
HD 57682     07 22 02.05 -08 58 45.8  57682  6.4 O9.2IV           -9.99 -9.99  10.46  0.45  13.38  0.34  24.1  1.2
HR 2812      07 22 13.53 -19 00 59.8  57821  5.0 B5II/III          6.78  0.26  -1.69  0.19  -6.91  0.25  32.9  1.6
z Pup        07 33 51.04 -36 20 18.2  60606  5.4 B2Vne             2.75  0.24  -7.94  0.19   4.00  0.21  -9.0  7.4
e Pup        07 38 43.90 -36 29 48.6  61641  5.8 B3III             3.27  0.26  -7.23  0.21   4.63  0.23  19.0  4.3
HD 61831     07 39 27.34 -38 18 28.9  61831  4.8 B3V               5.87  0.16 -21.11  0.14  15.81  0.14  26.4  2.8
HR 3023      07 47 12.55 -22 31 10.2  63271  5.9 B1/2V             1.99  0.33  -7.80  0.26   9.92  0.24   7.0  4.3
V* V372 Car  07 52 29.74 -54 22 01.8  64722  5.7 B2IV              2.44  0.20  -4.17  0.22   8.03  0.20  18.0  4.3
HR 3091      07 54 11.01 -35 52 38.2  64802  5.5 B2V               4.81  0.23  -2.77  0.17   3.66  0.21  27.7  2.8
V* V Pup     07 58 14.44 -49 14 41.7  65818  4.4 B1Vp+B2:          3.40  0.29  -5.34  0.27   7.12  0.24  16.0  4.1
HD 66005     07 59 12.31 -49 58 36.8  66005  6.2 B2/3             -9.99 -9.99   0.94  6.06  -2.89  4.90  13.0  7.4
HD 66006     07 59 13.57 -49 58 25.6  66006  6.3 B2/3             -9.99 -9.99   0.41  4.66   0.13  3.45  23.0  7.4
HR 3159      08 00 19.97 -63 34 02.8  66591  4.8 B4V               6.53  0.13  -1.89  0.15  19.21  0.14  22.1  2.8
HR 3156      08 00 49.94 -54 09 04.6  66441  5.8 B5Vn              4.25  0.25 -25.42  0.30   8.74  0.20   0.0  3.7
V* V461 Car  08 01 23.04 -54 30 55.9  66546  6.1 B2IV              2.42  0.25  -5.23  0.30   5.99  0.23  34.0  7.4
eps Vol      08 07 55.79 -68 37 01.4  68520  4.4 B5III             5.80  0.39 -29.14  0.41  29.26  0.43   9.0  0.3
16 Pup       08 09 01.64 -19 14 42.1  67797  4.4 B5V               7.01  0.22  -9.87  0.18  -5.55  0.21  19.9  1.2
HD 68895     08 12 30.79 -46 15 51.4  68895  6.0 B5V               3.12  0.44  -3.92  0.56   9.06  0.32  12.7  1.8
V* NO Vel    08 13 36.15 -46 59 29.9  69144  5.1 B3III             2.40  0.20 -10.11  0.20   9.88  0.17  25.0  4.5
HD 71510C    08 25 31.10 -51 43 40.0  71510 10.8 G3V               4.69  0.22 -14.31  0.24  17.08  0.20  18.0  4.2
HR 3358      08 29 04.75 -47 55 44.1  72108  5.3 B1.5V+B4V         1.53  0.34  -6.90  0.43   7.12  0.34  29.0  3.7
d Car        08 40 37.03 -59 45 39.6  74375  4.3 B2III             2.26  0.11  -6.63  0.12   5.32  0.12  12.9  0.7
eta Hya      08 43 13.47 +03 23 55.2  74280  4.3 B3V               5.56  0.24 -19.39  0.27  -1.08  0.20  16.1  0.3
HR 3479      08 44 51.93 -37 08 50.1  74824  5.7 B3III             2.06  0.27  -8.47  0.17   4.42  0.20  12.0 10.0
HR 3503      08 48 00.22 -52 51 00.5  75466  6.3 B8V               7.05  0.24 -25.13  0.26  23.31  0.26  11.6  1.5
f Vel        08 50 33.46 -46 31 45.1  75821  5.1 B1Ib              1.00  0.27  -3.69  0.28   3.36  0.28  27.2  0.2
HD 77002     08 56 58.42 -59 13 45.6  77002  4.9 B2V               4.84  0.21  -8.26  0.20   8.04  0.21  26.8  2.8
E Car        09 05 38.38 -70 32 18.6  78764  4.7 B2(IV)n           3.37  0.38  -4.11  0.44   8.87  0.37  19.0  7.4
a Car        09 10 58.09 -58 58 00.8  79351  3.4 B2IV-V            7.30  0.35 -16.64  0.33  15.00  0.35  23.3  4.0
HR 3784      09 30 05.11 -51 31 01.8  82419  5.5 B8III             7.54  0.20 -19.29  0.17  12.04  0.18  10.0  4.2
zet Cha      09 33 53.38 -80 56 28.5  83979  5.1 B4IV              5.70  0.15 -34.91  0.17  14.18  0.16 -42.0  4.2
kap Hya      09 40 18.36 -14 19 56.3  83754  5.1 B3/5IV/V          7.48  0.30 -23.41  0.41 -21.10  0.22  20.6  2.0
HR 3878      09 45 22.01 -30 12 09.9  84567  6.5 B0IV              0.93  0.36 -11.44  0.26   5.92  0.30  31.7  3.0
HR 3886      09 46 30.37 -44 45 18.2  84816  5.5 B2V               3.27  0.41 -13.34  0.32  -0.78  0.31  -4.0  7.4
HR 3920      09 53 00.09 -55 22 23.5  85817  6.5 B1IIIn            1.23  0.27 -11.84  0.24   4.08  0.23 -18.0  7.4
HD 85980     09 54 17.65 -45 17 00.7  85980  5.8 B5V               3.27  0.40 -16.57  0.35   4.92  0.36  13.0  4.3
tet Car      10 42 57.40 -64 23 40.0  93030  2.8 B0Vp              7.16  0.21 -18.36  0.23  12.03  0.18  20.0  1.0
HR 4222      10 46 51.22 -64 23 00.5  93607  4.8 B4V               6.79  0.17 -17.96  0.19   9.65  0.15  16.0  4.2
HD 96706     11 06 49.89 -70 52 40.5  96706  5.6 B3IV/V            3.96  0.22 -22.35  0.23   3.36  0.19   7.4  4.3
pi. Cen      11 21 00.44 -54 29 27.9  98718  3.9 B5Vn              9.12  0.34 -35.85  0.34  -1.72  0.27   9.4  3.7
HD 99104     11 23 21.40 -64 57 17.0  99103  5.1 B5IV              8.08  0.38 -22.60  0.39   7.03  0.36  19.3  2.8
HR 4403      11 24 22.05 -42 40 08.8  99171  6.1 B2V               1.18  0.57  -9.20  0.32   0.57  0.34   9.7  1.5
HD 105521    12 08 54.59 -41 13 53.8 105521  5.5 B3IVe             2.05  0.25 -11.51  0.23  -7.76  0.17   0.0  3.7
del Cru      12 15 08.72 -58 44 56.1 106490  2.8 B2IV              9.45  0.15 -35.81  0.12 -10.36  0.12  22.2  2.6
G Cen        12 26 31.76 -51 27 02.3 108257  4.8 B3V(n)            7.28  0.24 -30.66  0.18 -10.13  0.14   5.0  4.2
alf Cru      12 26 35.90 -63 05 56.7 108248  0.8 B0.5IV+B1V       10.13  0.50 -35.83  0.47 -14.86  0.43  11.9  2.4
sig Cen      12 28 02.38 -50 13 50.3 108483  3.9 B2V               7.92  0.18 -32.36  0.15 -12.51  0.13   8.0  4.1
alf Mus      12 37 11.02 -69 08 08.0 109668  2.6 B2IV             10.34  0.11 -40.20  0.10 -12.80  0.10  13.0  4.0
bet Mus      12 46 16.80 -68 06 29.2 110879  3.1 B2V               9.55  0.41 -41.97  0.43  -8.89  0.31  42.0  7.4
HD 110956    12 46 22.71 -56 29 19.7 110956  4.6 B2/3V             8.48  0.22 -33.03  0.14 -14.84  0.13  16.6  2.8
bet Cru      12 47 43.26 -59 41 19.8 111123  1.2 B1IV             11.71  0.98 -42.97  0.72 -16.18  0.68  15.6  0.4
mu.01 Cru    12 54 35.62 -57 10 40.5 112092  4.0 B2IV-V            7.87  0.17 -30.69  0.13 -13.08  0.11  13.9  0.7
mu.02 Cru    12 54 36.89 -57 10 07.2 112092  5.2 B5Vne             8.01  0.29 -32.49  0.23 -10.92  0.19  13.9  0.7
Ksi02 Cen    13 06 54.64 -49 54 22.5 113791  4.3 B3V               6.98  0.24 -26.15  0.23 -12.03  0.15  14.3  4.1
HR 5027      13 20 48.34 -55 48 02.5 115842  6.1 B0.5Ia/ab         0.65  0.44  -3.04  0.31   3.93  0.36  -3.0  4.3
HR 5140      13 42 01.09 -58 47 13.5 118978  5.4 B9III             4.17  0.57 -31.75  0.55 -11.63  0.48  -8.0  7.4
nu Cen       13 49 30.28 -41 41 15.8 120307  3.4 B2IV              7.47  0.17 -26.77  0.12 -20.18  0.08   8.0  2.0
47 Hya       13 58 31.15 -24 58 20.1 121847  5.2 B8V               9.80  0.19 -49.36  0.21 -29.53  0.15   5.0  4.2
eps Aps      14 22 23.16 -80 06 32.2 124771  5.1 B3V               5.06  0.22  -9.51  0.20 -14.34  0.21   4.5  4.2
V* HX Lup    14 22 38.71 -48 19 11.5 125721  6.1 B2II/III          1.49  0.58  -5.58  0.43  -5.97  0.57 -18.0  4.3
tau01 Lup    14 26 08.22 -45 13 17.1 126341  4.6 B2IV              2.99  0.21 -13.09  0.22 -14.67  0.18 -21.5  2.8
sig Lup      14 32 37.06 -50 27 25.8 127381  4.4 B1/B2V            5.67  0.19 -29.26  0.16 -15.72  0.16  -1.5  2.7
bet Lib      15 17 00.41 -09 22 58.5 135742  2.6 B8Vn             17.62  0.16 -98.10  0.18 -19.65  0.15 -35.6  1.8
b Sco        15 50 58.74 -25 45 04.7 141637  4.6 B1.5Vn            6.59  0.27 -14.20  0.33 -25.12  0.26  -3.0  4.7
lam Lib      15 53 20.05 -20 10 01.4 142096  5.0 B3V              10.54  0.91  -9.81  1.35 -26.85  1.00 -11.5  2.2
2 Sco        15 53 36.72 -25 19 37.7 142114  4.6 B2.5Vn            6.49  0.51 -15.12  0.62 -25.18  0.56  -9.3  1.6
HR 5906      15 53 53.92 -24 31 59.4 142165  5.4 B5V               7.76  0.52 -12.59  0.67 -25.49  0.64  -6.3 10.0
3 Sco        15 54 39.53 -25 14 37.5 142301  5.9 B8III/IV          6.33  0.43 -13.16  0.60 -25.55  0.46  -8.7  4.3
rho Sco      15 56 53.08 -29 12 50.7 142669  3.9 B2IV-V            6.91  0.19 -15.68  0.21 -24.88  0.19   3.3 10.0
48 Lib       15 58 11.37 -14 16 45.7 142983  4.9 B8Ia/Iab          6.97  0.24 -12.44  0.25 -16.73  0.21  -7.5  1.8
pi. Sco      15 58 51.11 -26 06 50.8 143018  2.9 B1V+B2:V:         5.57  0.64 -11.42  0.78 -26.83  0.74  -7.4  1.3
del Sco      16 00 20.01 -22 37 18.1 143275  2.3 B0.3IV            6.64  0.89 -10.21  1.01 -35.41  0.71  -6.0  0.5
ome Sco      16 06 48.43 -20 40 09.1 144470  4.0 B1V               6.92  0.26  -8.98  0.23 -23.48  0.16  -4.4  3.0
11 Sco       16 07 36.42 -12 44 43.5 144708  5.8 B9V               8.90  0.60 -42.16  0.61 -25.86  0.55 -25.0  7.4
HR 6026      16 11 58.60 -19 27 00.2 145501  6.3 B8/9V            -9.99 -9.99  -4.20 -9.99 -18.00 -9.99 -99.9 -9.9
nu Sco       16 11 59.74 -19 27 38.5 145502  4.0 B2V               6.88  0.76  -7.65  0.71 -23.71  0.47   4.1 10.0
13 Sco       16 12 18.20 -27 55 34.9 145482  4.6 B2V               6.81  0.16 -10.38  0.18 -23.94  0.14  -3.8  7.4
HR 6054      16 14 53.43 -25 28 37.1 146001  6.0 B8V               6.72  0.40  -9.41  0.37 -21.73  0.31  -8.4  2.7
sig Sco      16 21 11.32 -25 35 34.1 147165  2.9 O9.5(V)+B7(V)     4.68  0.60 -10.60  0.78 -16.28  0.43   2.5  2.0
i Sco        16 30 12.48 -25 06 54.8 148605  4.8 B3V               7.89  0.24  -4.45  0.23 -26.33  0.23   0.0  5.9
N Sco        16 31 22.93 -34 42 15.7 148703  4.2 B2III-IV          5.88  0.19 -12.05  0.20 -18.16  0.13   0.8  1.5
tau Sco      16 35 52.96 -28 12 57.7 149438  2.8 B0.2V             6.88  0.53  -9.89  0.61 -22.83  0.55   1.7  0.9
zet Oph      16 37 09.54 -10 34 01.5 149757  2.6 O9.2IVnn          8.91  0.20  15.26  0.26  24.79  0.22  -9.0  5.5
HR 6219      16 47 19.66 -58 20 29.2 150898  5.6 B0Ia/ab           1.21  0.31  -4.64  0.24 -20.28  0.23 -53.3  2.9
HR 6387      17 12 25.06 -27 45 43.6 155401  6.1 B9V(n)            6.50  0.40  -6.76  0.35 -48.62  0.20   1.0 10.0
V* U Oph     17 16 31.72 +01 12 38.0 156247  5.9 B3V               4.99  0.41  -3.46  0.39 -15.94  0.22 -10.8  2.9
tet Oph      17 22 00.58 -24 59 58.3 157056  3.3 OB                7.48  0.17  -7.37  0.18 -23.94  0.10  -2.1  3.6
HR 6523      17 33 07.39 -41 10 23.0 158799  5.8 B9III             2.15  0.42   4.03  0.50  -3.38  0.32 -19.1  3.2
kap Sco      17 42 29.28 -39 01 47.9 160578  2.4 B1.5III           6.75  0.17  -6.05  0.21 -25.54  0.13 -14.0  2.8
HD 161056    17 43 47.02 -07 04 46.6 161056  6.3 B3II/III          3.00  0.54  -4.32  0.47 -10.60  0.29 -26.0  4.3
iot02 Sco    17 50 11.11 -40 05 25.6 161912  4.8 A2Ib              1.28  0.24   3.90  0.32  -2.42  0.18 -10.2  3.1
HR 6755      18 06 07.40 -08 19 26.2 165402  5.9 B2II/III          6.30  0.76  -3.76  0.82 -16.57  0.51 -23.0  4.3
HR 6788      18 10 55.35 -33 48 00.2 166197  6.2 B2II/III         -9.99 -9.99   3.18  0.53   0.02  0.28 -25.0  4.3
HD 166841    18 18 00.96 -68 13 45.3 166841  6.3 B8/9V             5.35  0.42  -0.20  0.33 -17.09  0.32  18.8  1.8
HD 170580    18 30 05.12 +04 03 55.3 170580  6.7 B2V               1.97  0.37  -0.61  0.41  -6.46  0.35 -22.0  1.0
HD 172910    18 44 19.36 -35 38 31.2 172910  4.9 B2V               6.99  0.23  -0.68  0.25 -27.24  0.15   3.9  2.8
HD 173117    18 44 49.60 -25 00 39.3 173117  5.8 B8III             5.64  0.37   1.42  0.49 -22.54  0.26  15.0  7.4
HD 174237    18 46 43.09 +52 59 16.7 174237  5.9 B3+F5III          2.52  0.24  10.65  0.24  -3.37  0.24  -2.1  2.3
V* V686 CrA  18 56 40.50 -37 20 35.7 175362  5.4 B3V               7.58  0.27   9.05  0.33 -23.62  0.20   1.3  0.8
HR 7185      18 59 12.29 +39 13 02.4 176582  6.4 B5V               3.42  0.30  -0.45  0.22  -0.67  0.35 -14.0  4.3
HR 7173      18 59 17.34 +10 08 27.6 176304  6.8 B2Vp              1.51  0.60   1.08  0.55  -3.52  0.46 -14.8  3.0
HR 7202      19 01 17.36 +26 17 29.1 176871  5.7 B5V               5.02  0.29  -0.66  0.19  -9.28  0.28 -20.4  1.2
HR 7200      19 01 22.55 +20 49 58.2 176819  6.8 B2IV-V            1.66  0.39  -0.29  0.25  -5.78  0.36 -10.3  4.4
