Source	xi	r0	N6	D'	R0'/D'	Rc'/R0'	\beta	*	i	R0/D	D	R0	R0/r0	P(in)	P(wind)	P(in)/P(wind)	F(photo)	F(star)	F(ph)/F(*)
LV2	0.8	0.120	2.53	7.83	0.25	1.3	0.002		70	0.04	22.89	0.92	7.67	3.4e-7	9.3e-9	36.56	1.61e14	1.75e13	9.20
LV2	0.8	0.120	2.53	7.83	0.25	1.5	0.01		55	0.09	13.65	1.23	10.25	1.9e-7	2.6e-8	7.31	1.61e14	4.93e13	3.27
LV2	0.4	0.120	2.53	7.83	0.25	1.2	0.02		55	0.12	13.65	1.64	13.67	1.1e-7	2.6e-8	4.23	1.61e14	4.93e13	3.27
LV2	0.4	0.120	2.53	7.83	0.25	1.25	0.035	*	45	0.15	11.07	1.66	13.83	1.0e-7	4.0e-8	2.50	1.61e14	7.49e13	2.15
LV2	0.4	0.120	2.53	7.83	0.25	1.5	0.05	*	35	0.18	9.56	1.72	14.33	9.7e-8	5.3e-8	1.83	1.61e14	1.00e14	1.61
LV2	0.2	0.120	2.53	7.83	0.25	1.5	0.07	**	25	0.22	8.64	1.90	15.83	8.0e-8	6.5e-8	1.23	1.61e14	1.23e14	1.31
LV2	0.1	0.120	2.53	7.83	0.25	1.5	0.1	**	0	0.23	7.83	1.80	15.00	8.9e-8	7.9e-8	1.13	1.61e14	1.50e14	1.07
LV2b	1.0	0.038	4.13	7.01	0.095	2.0	0.002	*	50	0.04	10.91	0.44	11.58	2.4e-7	4.1e-8	5.85	1.38e14	7.72e13	1.79
LV2b	0.8	0.038	4.13	7.01	0.095	1.4	0.002	*	50	0.04	10.91	0.44	11.58	2.4e-7	4.1e-8	5.85	1.38e14	7.72e13	1.79
LV2b	0.8	0.038	4.13	7.01	0.095	1.55	0.005	**	40	0.065	9.15	0.59	15.53	1.4e-7	5.8e-8	2.41	1.38e14	1.10e14	1.25
LV2b	0.8	0.038	4.13	7.01	0.095	1.7	0.01	**	15	0.09	7.26	0.65	17.11	1.1e-7	9.2e-8	1.20	1.38e14	1.74e14	0.79
LV3	0.8	0.076	3.11	6.91	0.33	1.7	0.02	*	55	0.12	12.05	1.45	19.08	6.7e-8	3.3e-8	2.03	1.54e14	6.32e13	2.44
LV3	0.8	0.076	3.11	6.91	0.33	2.0	0.05	**	40	0.18	9.02	1.62	21.32	5.4e-8	6.0e-8	0.90	1.54e14	1.13e14	1.36
LV3	0.6	0.076	3.11	6.91	0.33	1.7	0.1	**	30	0.23	7.98	1.84	24.21	4.2e-8	7.6e-8	0.55	1.54e14	1.44e14	1.07
LV4	0.8	0.053	4.13	6.05	0.185	2.0	0.05	**	10	0.18	6.14	1.11	20.94	7.4e-8	1.3e-7	0.57	1.90e14	2.44e14	0.78
LV4	1.0	0.053	4.13	6.05	0.185	2.0	0.05	**	10	0.18	6.14	1.11	20.94	7.4e-8	1.3e-7	0.57	1.90e14	2.44e14	0.78
LV4	1.0	0.053	4.13	6.05	0.185	2.15	0.02	**	35	0.12	7.39	0.89	16.79	1.2e-7	8.9e-8	1.35	1.90e14	1.68e14	1.13
LV4	1.0	0.053	4.13	6.05	0.185	2.25	0.01	*	45	0.09	8.56	0.77	14.53	1.5e-7	6.6e-8	2.27	1.90e14	1.25e14	1.52
LV4	1.0	0.053	4.13	6.05	0.185	2.3	0.005	*	50	0.065	9.41	0.61	11.51	2.5e-7	5.5e-8	4.55	1.90e14	1.04e14	1.83
LV4	1.0	0.053	4.13	6.05	0.185	2.5	0.0005		70	0.025	17.69	0.44	8.30	4.7e-7	1.6e-8	29.38	1.90e14	2.93e13	6.48
LV5	0.8	0.096	2.33	9.42	0.22	1.5	0.01		55	0.09	16.42	1.48	15.42	7.7e-8	1.8e-8	4.28	1.10e14	3.41e13	3.23
LV5	0.8	0.096	2.33	9.42	0.22	1.75	0.02	*	42	0.12	12.68	1.52	15.83	7.3e-8	3.0e-8	2.43	1.10e14	5.71e13	1.93
LV5	0.4	0.096	2.33	9.42	0.22	1.6	0.05	**	25	0.18	10.39	1.87	19.48	4.8e-8	4.5e-8	1.07	1.10e14	8.51e13	1.29
LV5	0.2	0.096	2.33	9.42	0.22	1.6	0.06	**	15	0.20	9.75	1.95	20.31	4.5e-8	5.1e-8	0.88	1.10e14	9.66e13	1.14
168-328	0.8	0.043	4.00	6.64	0.155	1.4	0.002		65	0.04	15.71	0.63	14.65	1.5e-7	2.0e-8	7.50	1.46e14	3.72e13	3.92
168-328	0.8	0.043	4.00	6.64	0.155	1.5	0.005	*	55	0.065	11.58	0.75	17.44	1.0e-7	3.6e-8	2.78	1.46e14	6.85e13	2.13
